periode_data,tanggal,stasiun,pm10,pm25,so2,co,o3,no2,max,parameter_pencemar_kritis,kategori
201001,2010-01-01,DKI1,60.0,7.091421,4.0,73.0,27.0,14.0,73.0,CO,SEDANG
201001,2010-01-02,DKI1,32.0,5.76399,2.0,16.0,33.0,9.0,33.0,O3,BAIK
201001,2010-01-03,DKI1,27.0,4.232732,2.0,19.0,20.0,9.0,27.0,PM10,BAIK
201001,2010-01-04,DKI1,22.0,3.3327994,2.0,16.0,15.0,6.0,22.0,PM10,BAIK
201001,2010-01-05,DKI1,25.0,3.6998339,2.0,17.0,15.0,8.0,25.0,PM10,BAIK
201001,2010-01-06,DKI1,30.0,4.4470706,3.0,22.0,19.0,11.0,30.0,PM10,BAIK
201001,2010-01-07,DKI1,41.0,6.291332,4.0,24.0,27.0,13.0,41.0,PM10,BAIK
201001,2010-01-08,DKI1,64.0,7.6426797,8.0,51.0,19.0,15.0,64.0,PM10,SEDANG
201001,2010-01-09,DKI1,55.0,7.292447,5.0,39.0,23.0,16.0,55.0,PM10,SEDANG
201001,2010-01-10,DKI1,34.0,5.306802,5.0,23.0,26.0,12.0,34.0,PM10,BAIK
201001,2010-01-11,DKI1,55.0,7.311806,10.0,32.0,23.0,16.0,55.0,PM10,SEDANG
201001,2010-01-12,DKI1,45.0,5.3247213,4.0,33.0,9.0,17.0,45.0,PM10,BAIK
201001,2010-01-13,DKI1,28.0,3.2907288,5.0,29.0,10.0,12.0,29.0,CO,BAIK
201001,2010-01-14,DKI1,38.0,4.813657,6.0,28.0,15.0,10.0,38.0,PM10,BAIK
201001,2010-01-15,DKI1,35.0,4.5535717,5.0,33.0,17.0,17.0,35.0,PM10,BAIK
201001,2010-01-16,DKI1,54.0,6.780404,5.0,38.0,17.0,18.0,54.0,PM10,SEDANG
201001,2010-01-17,DKI1,44.0,6.1836443,4.0,28.0,22.0,14.0,44.0,PM10,BAIK
201001,2010-01-18,DKI1,38.0,5.5665503,4.0,29.0,24.0,15.0,38.0,PM10,BAIK
201001,2010-01-19,DKI1,40.0,5.4543076,3.0,43.0,23.0,23.0,43.0,CO,BAIK
201001,2010-01-20,DKI1,61.0,6.829072,5.0,63.0,16.0,17.0,63.0,CO,SEDANG
201001,2010-01-21,DKI1,36.0,5.264264,4.0,27.0,23.0,13.0,36.0,PM10,BAIK
