tanggal,stasiun,pm10,pm25,so2,co,o3,no2,periode_data,max,parameter_pencemar_kritis,kategori
2010-01-01,DKI1,60.0,89.0,4.0,73.0,27.0,14.0,201001.0,73.0,CO,SEDANG
2010-01-01,DKI2,60.0,89.0,4.0,73.0,27.0,14.0,201001.0,0.0,,BAIK
2010-01-01,DKI3,60.0,89.0,4.0,73.0,27.0,14.0,201001.0,0.0,,BAIK
2010-01-01,DKI4,60.0,89.0,4.0,73.0,27.0,14.0,201001.0,0.0,,BAIK
2010-01-01,DKI5,60.0,89.0,4.0,73.0,27.0,14.0,201001.0,0.0,,BAIK
2010-01-02,DKI1,32.0,89.0,2.0,16.0,33.0,9.0,201001.0,33.0,O3,BAIK
2010-01-02,DKI2,32.0,89.0,2.0,16.0,33.0,9.0,201001.0,0.0,,BAIK
2010-01-02,DKI3,32.0,89.0,2.0,16.0,33.0,9.0,201001.0,0.0,,BAIK
2010-01-02,DKI4,32.0,89.0,2.0,16.0,33.0,9.0,201001.0,0.0,,BAIK
2010-01-02,DKI5,32.0,89.0,2.0,16.0,33.0,9.0,201001.0,0.0,,BAIK
2010-01-03,DKI1,27.0,89.0,2.0,19.0,20.0,9.0,201001.0,27.0,PM10,BAIK
2010-01-03,DKI2,27.0,89.0,2.0,19.0,20.0,9.0,201001.0,0.0,,BAIK
2010-01-03,DKI3,27.0,89.0,2.0,19.0,20.0,9.0,201001.0,0.0,,BAIK
2010-01-03,DKI4,27.0,89.0,2.0,19.0,20.0,9.0,201001.0,0.0,,BAIK
2010-01-03,DKI5,27.0,89.0,2.0,19.0,20.0,9.0,201001.0,0.0,,BAIK
2010-01-04,DKI1,22.0,89.0,2.0,16.0,15.0,6.0,201001.0,22.0,PM10,BAIK
2010-01-04,DKI2,22.0,89.0,2.0,16.0,15.0,6.0,201001.0,0.0,,BAIK
2010-01-04,DKI3,22.0,89.0,2.0,16.0,15.0,6.0,201001.0,0.0,,BAIK
2010-01-04,DKI4,22.0,89.0,2.0,16.0,15.0,6.0,201001.0,0.0,,BAIK
2010-01-04,DKI5,22.0,89.0,2.0,16.0,15.0,6.0,201001.0,0.0,,BAIK
2010-01-05,DKI1,25.0,89.0,2.0,17.0,15.0,8.0,201001.0,25.0,PM10,BAIK
2010-01-05,DKI2,25.0,89.0,2.0,17.0,15.0,8.0,201001.0,0.0,,BAIK
2010-01-05,DKI3,25.0,89.0,2.0,17.0,15.0,8.0,201001.0,0.0,,BAIK
2010-01-05,DKI4,25.0,89.0,2.0,17.0,15.0,8.0,201001.0,0.0,,BAIK
2010-01-05,DKI5,25.0,89.0,2.0,17.0,15.0,8.0,201001.0,0.0,,BAIK
2010-01-06,DKI1,30.0,89.0,3.0,22.0,19.0,11.0,201001.0,30.0,PM10,BAIK
2010-01-06,DKI2,30.0,89.0,3.0,22.0,19.0,11.0,201001.0,0.0,,BAIK
2010-01-06,DKI3,30.0,89.0,3.0,22.0,19.0,11.0,201001.0,0.0,,BAIK
2010-01-06,DKI4,30.0,89.0,3.0,22.0,19.0,11.0,201001.0,0.0,,BAIK
2010-01-06,DKI5,30.0,89.0,3.0,22.0,19.0,11.0,201001.0,0.0,,BAIK
2010-01-07,DKI1,41.0,89.0,4.0,24.0,27.0,13.0,201001.0,41.0,PM10,BAIK
2010-01-07,DKI2,41.0,89.0,4.0,24.0,27.0,13.0,201001.0,0.0,,BAIK
2010-01-07,DKI3,41.0,89.0,4.0,24.0,27.0,13.0,201001.0,0.0,,BAIK
2010-01-07,DKI4,41.0,89.0,4.0,24.0,27.0,13.0,201001.0,0.0,,BAIK
2010-01-07,DKI5,41.0,89.0,4.0,24.0,27.0,13.0,201001.0,0.0,,BAIK
2010-01-08,DKI1,64.0,89.0,8.0,51.0,19.0,15.0,201001.0,64.0,PM10,SEDANG
2010-01-08,DKI2,64.0,89.0,8.0,51.0,19.0,15.0,201001.0,0.0,,BAIK
2010-01-08,DKI3,64.0,89.0,8.0,51.0,19.0,15.0,201001.0,0.0,,BAIK
2010-01-08,DKI4,64.0,89.0,8.0,51.0,19.0,15.0,201001.0,0.0,,BAIK
2010-01-08,DKI5,64.0,89.0,8.0,51.0,19.0,15.0,201001.0,0.0,,BAIK
2010-01-09,DKI1,55.0,89.0,5.0,39.0,23.0,16.0,201001.0,55.0,PM10,SEDANG
2010-01-09,DKI2,55.0,89.0,5.0,39.0,23.0,16.0,201001.0,0.0,,BAIK
2010-01-09,DKI3,55.0,89.0,5.0,39.0,23.0,16.0,201001.0,0.0,,BAIK
2010-01-09,DKI4,55.0,89.0,5.0,39.0,23.0,16.0,201001.0,0.0,,BAIK
2010-01-09,DKI5,55.0,89.0,5.0,39.0,23.0,16.0,201001.0,0.0,,BAIK
